Item Name,Price USD + Shipping Cost,Quantity ,Total USD,Justification,Purchase Link
XIAO Esp32-C3,7.63,1,7.63,To flash the code and use it without being connected to a laptop,https://es.aliexpress.com/item/1005004723068527.html?spm=a2g0o.cart.0.0.70307a9d0F4H0A&mp=1&pdp_npi=5%40dis%21USD%21USD%2010.75%21USD%207.63%21%21USD%207.63%21%21%21%402103205117509633812334990e7d9b%2112000047077181051%21ct%21MX%216401005008%21%211%210&gatewayAdapt=glo2esp
".96"" OLED Display",0.99,1,0.99,"To select different colors and animations for the leds, also to make the XIAO go to deep sleep and so on",https://es.aliexpress.com/item/1005006141235306.html?spm=a2g0o.cart.0.0.70307a9dporkzB&mp=1&pdp_npi=5%40dis%21USD%21USD%202.65%21USD%200.99%21%21USD%200.99%21%21%21%402103205117509635066348401e7d9b%2112000035944225406%21ct%21MX%216401005008%21%211%210&gatewayAdapt=glo2esp
MT3608 Step Up Converter ,1.6,2,1.6,To step up the 3.7v from the battery into 5v to power the leds with sufficient power,https://es.aliexpress.com/item/1005006361814667.html?spm=a2g0o.cart.0.0.70307a9dporkzB&mp=1&pdp_npi=5%40dis%21USD%21USD%201.60%21USD%201.60%21%21USD%201.60%21%21%21%402103205117509635066348401e7d9b%2112000036895232309%21ct%21MX%216401005008%21%211%210&gatewayAdapt=glo2esp
Logic Level Shifter 3v3 to 5v,0.55,1,0.55,To convert the 3v3 logic from the xiao to 5v logic to give the leds good signal ,https://es.aliexpress.com/item/1005005976067667.html?spm=a2g0o.cart.0.0.70307a9dporkzB&mp=1&pdp_npi=5%40dis%21USD%21USD%200.62%21USD%200.55%21%21USD%200.55%21%21%21%402103205117509635066348401e7d9b%2112000048351495978%21ct%21MX%216401005008%21%211%210&gatewayAdapt=glo2esp
SS12D00 DIP Slide Switch,1.21,20,1.21,To turn on/off everything,https://es.aliexpress.com/item/1000007042312.html?spm=a2g0o.cart.0.0.70307a9dporkzB&mp=1&pdp_npi=5%40dis%21USD%21USD%201.21%21USD%201.21%21%21USD%201.21%21%21%21%402103205117509635066348401e7d9b%211000113088698%21ct%21MX%216401005008%21%211%210&gatewayAdapt=glo2esp
6x6x15mm Push Button 20 pack,1.34,20,1.34,To navigate the ui from the OLED,https://es.aliexpress.com/item/4001166999847.html?spm=a2g0o.cart.0.0.70307a9dporkzB&mp=1&pdp_npi=5%40dis%21USD%21USD%201.34%21USD%201.34%21%21USD%201.34%21%21%21%402103205117509635066348401e7d9b%2110000014987332823%21ct%21MX%216401005008%21%211%210&gatewayAdapt=glo2esp
Spirit Gum Adhesive,2.36,1,2.36,"To stick the LED ring 3d case to the skin, used to glue costume prosthetic to the face",https://es.aliexpress.com/item/1005005809932131.html?spm=a2g0o.cart.0.0.70307a9dporkzB&mp=1&pdp_npi=5%40dis%21USD%21USD%203.52%21USD%202.36%21%21USD%202.36%21%21%21%402103205117509635066348401e7d9b%2112000034429900956%21ct%21MX%216401005008%21%211%210&gatewayAdapt=glo2esp
3.7 Lipo Battery,5.33,1,5.33,To power up everything,https://es.aliexpress.com/item/1005008218024646.html?spm=a2g0o.cart.0.0.70307a9dporkzB&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.84%21USD%205.33%21%21USD%205.33%21%21%21%402103205117509635066348401e7d9b%2112000044269020521%21ct%21MX%216401005008%21%211%210&gatewayAdapt=glo2esp
TP4056 Lithium Battery Charger,0.99,1,0.99,To charge the LiPo Battery without a dedicated charger,https://www.aliexpress.com/item/1005004427739715.html?spm=a2g0o.cart.0.0.235338daUMC7UK&mp=1&pdp_npi=5%40dis%21USD%21USD%203.47%21USD%203.47%21%21USD%203.47%21%21%21%40210313e917511465062958844e602c%2112000031198236976%21ct%21MX%216401005008%21%211%210
7 SK6812 MINI-E LEDS,NA,7,NA,"Comes with the hackpad kit, in there, there's 16",
Rotary Encoder,NA,1,NA,"Comes with the hackpad kit, in there, there's 2",
Total with Shipping Cost,$30.80,,,,
